insert into acnh_fish values(1, 0, 'bitterling', '900', 'River', 'Tiny', 'All day');
insert into acnh_fish values(2, 0, 'pale chub', '200', 'River', 'Tiny', '9:00 AM to 4:00 PM');
insert into acnh_fish values(3, 0, 'crucian carp', '160', 'River', 'Small', 'All day');
insert into acnh_fish values(4, 0, 'dace', '240', 'River', 'Medium', '4:00 PM to 9:00 AM');
insert into acnh_fish values(5, 0, 'carp', '300', 'Pond', 'Large', 'All day');
insert into acnh_fish values(6, 0, 'koi', '4000', 'Pond', 'Large', '4:00 PM to 9:00 AM');
insert into acnh_fish values(7, 0, 'goldfish', '1300', 'Pond', 'Tiny', 'All day');
insert into acnh_fish values(8, 0, 'pop-eyed goldfish', '1300', 'Pond', 'Tiny', '9:00 AM to 4:00 PM');
insert into acnh_fish values(9, 0, 'ranchu goldfish', '4500', 'Pond', 'Small', '9:00 AM to 4:00 PM');
insert into acnh_fish values(10, 0, 'killifish', '300', 'Pond', 'Tiny', 'All day');
insert into acnh_fish values(11, 0, 'crawfish', '200', 'Pond', 'Small', 'All day');
insert into acnh_fish values(12, 0, 'soft-shelled turtle', '3750', 'River', 'Large', '4:00 PM to 9:00 AM');
insert into acnh_fish values(13, 0, 'snapping turtle', '5000', 'River', 'Large', '9:00 PM to 4:00 AM');
insert into acnh_fish values(14, 0, 'tadpole', '100', 'Pond', 'Tiny', 'All day');
insert into acnh_fish values(15, 0, 'frog', '120', 'Pond', 'Small', 'All day');
insert into acnh_fish values(16, 0, 'freshwater goby', '400', 'River', 'Small', '4:00 PM to 9:00 AM');
insert into acnh_fish values(17, 0, 'loach', '400', 'River', 'Small', 'All day');
insert into acnh_fish values(18, 0, 'catfish', '800', 'Pond', 'Large', '4:00 PM to 9:00 AM');
insert into acnh_fish values(19, 0, 'giant snakehead', '5500', 'Pond', 'Large', '9:00 AM to 4:00 PM');
insert into acnh_fish values(20, 0, 'bluegill', '180', 'River', 'Small', '9:00 AM to 4:00 PM');
insert into acnh_fish values(21, 0, 'yellow perch', '300', 'River', 'Medium', 'All day');
insert into acnh_fish values(22, 0, 'black bass', '400', 'River', 'Large', 'All day');
insert into acnh_fish values(23, 0, 'tilapia', '800', 'River', 'Medium', 'All day');
insert into acnh_fish values(24, 0, 'pike', '1800', 'River', 'Very Large', 'All day');
insert into acnh_fish values(25, 0, 'pond smelt', '400', 'River', 'Small', 'All day');
insert into acnh_fish values(26, 0, 'sweetfish', '900', 'River', 'Medium', 'All day');
insert into acnh_fish values(27, 0, 'cherry salmon', '1000', 'River (clifftop)', 'Medium', '4:00 PM to 9:00 AM');
insert into acnh_fish values(28, 0, 'char', '3800', 'River (clifftop)', 'Medium', '4:00 PM to 9:00 AM');
