bamboo grass	#NAME?	NA	NA	NA	NA	No	No	No	NA	3080	770	Green	Colorful	1x1	No	NA	Nook Shopping Seasonal		1.3.0	1.3.0	201	zen-style	folk art	None	None	No	Japanese Style	No	Does not play music	No lighting	Not in catalog	FtrTanabata	NA	1182	LBgZgjLgTm4RJGGdp
mermaid bed	#NAME?	NA	NA	NA	NA	Yes	No	No	NA	NFS	22400	Pink	Light blue	2x1	No	NA	Crafting		1.3.0	1.3.0	451	ocean	fancy	mermaid	None	Yes	Bed	No	Does not play music	No lighting	Not for sale	FtrMermaidBedS	NA	12558	3hnRiZ5yWwscD74ed
mermaid chair	#NAME?	NA	NA	NA	NA	Yes	No	No	NA	NFS	11140	Pink	Light blue	1x1	No	NA	Crafting		1.3.0	1.3.0	451	ocean	fancy	mermaid	None	Yes	Chair	No	Does not play music	No lighting	Not for sale	FtrMermaidChairS	NA	12562	cZADf6Hajte5TCSHr
mermaid closet	#NAME?	NA	NA	NA	NA	Yes	No	No	NA	NFS	22500	Pink	Light blue	1x1	No	NA	Crafting		1.3.0	1.3.0	451	ocean	fancy	mermaid	None	Wardrobe	Chest	No	Does not play music	No lighting	Not for sale	FtrMermaidClosetLR	NA	12559	fN6GXeRov2kBEQ3pA
mermaid dresser	#NAME?	NA	NA	NA	NA	Yes	No	No	NA	NFS	22400	Pink	Light blue	2x1	No	NA	Crafting		1.3.0	1.3.0	451	ocean	fancy	mermaid	None	Wardrobe	Chest	No	Does not play music	No lighting	Not for sale	FtrMermaidChest	NA	12561	uCssN3Gh7MRpeZYyp
mermaid lamp	#NAME?	NA	NA	NA	NA	Yes	No	No	NA	NFS	13850	Pink	Light blue	1x1	No	NA	Crafting		1.3.0	1.3.0	451	ocean	fancy	mermaid	None	Yes	Lamp	No	Does not play music	Fluorescent	Not for sale	FtrMermaidLamp	NA	12556	DaJNYDG7bhfCwPSur
mermaid screen	#NAME?	NA	NA	NA	NA	Yes	No	No	NA	NFS	23300	Pink	Light blue	2x1	No	NA	Crafting		1.3.0	1.3.0	451	ocean	fancy	mermaid	None	No	Screen	No	Does not play music	No lighting	Not for sale	FtrMermaidScreen	NA	12555	Nco2wbKRh3BsTupL5
mermaid shelf	#NAME?	NA	NA	NA	NA	Yes	No	No	NA	NFS	12900	Pink	Light blue	2x1	No	NA	Crafting		1.3.0	1.3.0	451	ocean	fancy	mermaid	None	No	Shelf	No	Does not play music	No lighting	Not for sale	FtrMermaidShelf	NA	12553	iCpYS9QY4qPtWRQ4R
mermaid sofa	#NAME?	NA	NA	NA	NA	Yes	No	No	NA	NFS	11200	Pink	Light blue	2x1	No	NA	Crafting		1.3.0	1.3.0	451	ocean	fancy	mermaid	None	Yes	Sofa	No	Does not play music	No lighting	Not for sale	FtrMermaidChairL	NA	12560	XarEpcvgaboJfSXvT
mermaid table	#NAME?	NA	NA	NA	NA	Yes	No	No	NA	NFS	10480	Pink	Light blue	2x1	Yes	NA	Crafting		1.3.0	1.3.0	451	ocean	fancy	mermaid	None	No	Table	No	Does not play music	No lighting	Not for sale	FtrMermaidTableM	NA	12552	qvqaf9JxP6WHBehHa
mermaid vanity	#NAME?	NA	NA	NA	NA	Yes	No	No	NA	NFS	12650	Pink	Light blue	1x1	No	NA	Crafting		1.3.0	1.3.0	451	ocean	fancy	mermaid	None	Wardrobe	Dresser	No	Does not play music	No lighting	Not for sale	FtrMermaidDresser	NA	12554	KwQbByEDHzaZbJyxs
pirate barrel	#NAME?	NA	NA	NA	NA	No	No	No	NA	NFS	200	Brown	Black	1x1	Yes	NA	Gullivarrr		1.3.0	1.3.0	451	ocean	garage	pirate	None	No	Seaside	No	Does not play music	No lighting	Not for sale	FtrPirateBarrelSkull	NA	12574	xqwfGthBE237ZqaKe
pirate-ship cannon	#NAME?	NA	NA	NA	NA	No	No	No	NA	NFS	455	Black	Brown	2x1	No	NA	Gullivarrr		1.3.0	1.3.0	451	ocean	horror	pirate	None	Yes	Seaside	No	Does not play music	No lighting	Not for sale	FtrPirateCannon	NA	1268	K7eBaxmC8nBFvwfZi
pirate-ship helm	#NAME?	NA	NA	NA	NA	No	No	No	NA	NFS	280	Brown	Beige	1x1	No	NA	Gullivarrr		1.3.0	1.3.0	451	ocean	None	pirate	None	Yes	Seaside	No	Does not play music	No lighting	Not for sale	FtrPirateWheel	NA	1273	Zb5T6DnzFE6jhrFKB
pirate-treasure chest	#NAME?	NA	NA	NA	NA	No	No	No	NA	NFS	20000	Yellow	Brown	1.5x1.5	No	NA	Gullivarrr		1.3.0	1.3.0	451	ocean	expensive	pirate	None	No	Seaside	No	Does not play music	No lighting	Not for sale	FtrPirateTreasurechest	NA	12573	tQAbHMeAXK7JgKP84
sideways pirate barrel	#NAME?	NA	NA	NA	NA	No	No	No	NA	NFS	200	Brown	Black	1x1	No	NA	Gullivarrr		1.3.0	1.3.0	451	ocean	garage	pirate	None	No	Seaside	No	Does not play music	No lighting	Not for sale	FtrPirateBarrelSkullSide	NA	12572	eEdANSjXXd5JQR2Ep
