insert into acnl_feet values(1, 0, 'Argyle Socks', 'normal', 'Kicks', 'red', 'black')
insert into acnl_feet values(2, 0, 'Argyle Tights', 'normal', 'Kicks', 'orange', 'brown')
insert into acnl_feet values(3, 0, 'Armor Shoes', 'normal', 'Kicks', 'gray', 'gray')
insert into acnl_feet values(4, 0, 'Ballet Slippers', 'normal', 'Kicks', 'pink', 'pink')
insert into acnl_feet values(5, 0, 'Basketball Shoes', 'normal', 'Kicks', 'yellow', 'white')
insert into acnl_feet values(6, 0, 'Beige Tights', 'normal', 'Kicks', 'beige', 'beige')
insert into acnl_feet values(7, 0, 'Black Ankle Socks', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(8, 0, 'Black Leggings', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(9, 0, 'Black Loafers', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(10, 0, 'Black Pumps', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(11, 0, 'Black Rain Boots', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(12, 0, 'Black Stockings', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(13, 0, 'Black Tights', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(14, 0, 'Blue Pumps', 'normal', 'Kicks', 'blue', 'blue')
insert into acnl_feet values(15, 0, 'Blue Sneakers', 'normal', 'Kicks', 'blue', 'white')
insert into acnl_feet values(16, 0, 'Blue Wrestling Shoes', 'normal', 'Kicks', 'blue', 'white')
insert into acnl_feet values(17, 0, 'Blue-Stripe Tights', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(18, 0, 'Bobby Socks', 'normal', 'Kicks', 'white', 'white')
insert into acnl_feet values(19, 0, 'Brown Loafers', 'normal', 'Kicks', 'brown', 'brown')
insert into acnl_feet values(20, 0, 'Brown Pumps', 'normal', 'Kicks', 'brown', 'brown')
insert into acnl_feet values(21, 0, 'Brown Slip-Ons', 'normal', 'Kicks', 'brown', 'brown')
insert into acnl_feet values(22, 0, 'Brown Socks', 'normal', 'Kicks', 'beige', 'beige')
insert into acnl_feet values(23, 0, 'Brown-Stripe Socks', 'normal', 'Kicks', 'white', 'black')
insert into acnl_feet values(24, 0, 'Checkered Socks', 'normal', 'Kicks', 'red', 'black')
insert into acnl_feet values(25, 0, 'Cleats', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(26, 0, 'Climbing Shoes', 'normal', 'Kicks', 'yellow', 'black')
insert into acnl_feet values(27, 0, 'Clogs', 'normal', 'Kicks', 'orange', 'orange')
insert into acnl_feet values(28, 0, 'Colorful Sneakers', 'normal', 'Kicks', 'red', 'blue')
insert into acnl_feet values(29, 0, 'Colorful Socks', 'normal', 'Kicks', 'colorful', 'colorful')
insert into acnl_feet values(30, 0, 'Cowboy Boots', 'unorderable', 'GracieGrace (Autumn)', 'brown', 'brown')
insert into acnl_feet values(31, 0, 'Dress Socks', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(32, 0, 'Fishnet Tights', 'normal', 'Kicks', 'black', 'black')
insert into acnl_feet values(33, 0, 'Flip-Flops', 'unorderable', 'Island', 'yellow', 'green')
insert into acnl_feet values(34, 0, 'Flower Loafers', 'normal', 'Kicks', 'yellow', 'brown')
insert into acnl_feet values(35, 0, 'Gladiator Sandals', 'normal', 'Gulliver', 'brown', 'brown')
insert into acnl_feet values(36, 0, 'Gold-Armor Shoes', 'normal', 'Kicks', 'yellow', 'yellow')
