insert into acnl_furniture values(1, 0, '? Block', 'unorderable', 'Fortune Cookie', 'orange', 'brown');
insert into acnl_furniture values(2, 0, '1-Up Mushroom', 'unorderable', 'Fortune Cookie', 'green', 'orange');
insert into acnl_furniture values(3, 0, 'ABD', 'unorderable', 'Savings', 'gray', 'gray');
insert into acnl_furniture values(4, 0, 'Air Conditioner', 'normal', 'Timmy&Tommy''s', 'none', 'none');
insert into acnl_furniture values(5, 0, 'Alarm Clock', 'normal', 'Timmy&Tommy''s', 'beige', 'beige');
insert into acnl_furniture values(6, 0, 'Aloe', 'normal', 'Garden Corner', 'green', 'brown');
insert into acnl_furniture values(7, 0, 'Alpine Bed', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(8, 0, 'Alpine Chair', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(9, 0, 'Alpine Closet', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(10, 0, 'Alpine Dresser', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(11, 0, 'Alpine Kitchen Cart', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(12, 0, 'Alpine Lamp', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(13, 0, 'Alpine Low Table', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(14, 0, 'Alpine Panel', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(15, 0, 'Alpine Shelf', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(16, 0, 'Alpine Sofa', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(17, 0, 'Aluminum Briefcase', 'unorderable', 'Savings', 'gray', 'gray');
insert into acnl_furniture values(18, 0, 'Amazing Machine', 'normal', 'Timmy&Tommy''s', 'black', 'black');
insert into acnl_furniture values(19, 0, 'Amp', 'normal', 'Timmy&Tommy''s', 'black', 'black');
insert into acnl_furniture values(20, 0, 'Anatomical Model', 'normal', 'Timmy&Tommy''s', 'colorful', 'colorful');
insert into acnl_furniture values(21, 0, 'Anchor', 'unorderable', 'Pascal', 'brown', 'black');
insert into acnl_furniture values(22, 0, 'Antique Clock', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(23, 0, 'Arc de Triomphe', 'normal', 'Spotlight/Wishy', 'gray', 'gray');
insert into acnl_furniture values(24, 0, 'Arcade Machine', 'normal', 'Timmy&Tommy''s', 'colorful', 'white');
insert into acnl_furniture values(25, 0, 'Aroma Pot', 'normal', 'Timmy&Tommy''s', 'gray', 'gray');
insert into acnl_furniture values(26, 0, 'Arrow Sign', 'normal', 'Museum Shop', 'blue', 'white');
insert into acnl_furniture values(27, 0, 'Arwing', 'unorderable', 'Fortune Cookie', 'blue', 'gray');
insert into acnl_furniture values(28, 0, 'Asteroid', 'normal', 'Timmy&Tommy''s', 'brown', 'gray');
insert into acnl_furniture values(29, 0, 'Astro Bed', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(30, 0, 'Astro CD Player', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(31, 0, 'Astro Chair', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(32, 0, 'Astro Clock', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(33, 0, 'Astro Closet', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(34, 0, 'Astro Dresser', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(35, 0, 'Astro Lamp', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(36, 0, 'Astro Shelf', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(37, 0, 'Astro Sofa', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(38, 0, 'Astro Table', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(39, 0, 'Astro TV', 'normal', 'Timmy&Tommy''s', 'orange', 'white');
insert into acnl_furniture values(40, 0, 'Automatic Washer', 'normal', 'Timmy&Tommy''s', 'white', 'white');
insert into acnl_furniture values(41, 0, 'Ayers Rock', 'normal', 'Gulliver', 'brown', 'brown');
insert into acnl_furniture values(42, 0, 'Azalea Bonsai', 'normal', 'Garden Corner', 'blue', 'pink');
insert into acnl_furniture values(43, 0, 'Azalea Stool', 'unorderable', 'Weeding Day/Leif', 'pink', 'pink');
insert into acnl_furniture values(44, 0, 'Baby Bear', 'normal', 'Timmy&Tommy''s', 'orange', 'orange');
insert into acnl_furniture values(45, 0, 'Baby Bed', 'normal', 'Timmy&Tommy''s', 'colorful', 'white');
insert into acnl_furniture values(46, 0, 'Baby Panda', 'normal', 'Timmy&Tommy''s', 'green', 'white');
insert into acnl_furniture values(47, 0, 'Backpack', 'normal', 'Tent Camper', 'blue', 'brown');
insert into acnl_furniture values(48, 0, 'Backyard Pool', 'normal', 'Timmy&Tommy''s', 'aqua', 'aqua');
insert into acnl_furniture values(49, 0, 'Bagpipes', 'normal', 'Gulliver', 'brown', 'black');
insert into acnl_furniture values(50, 0, 'Ball Catcher', 'normal', 'Timmy&Tommy''s', 'blue', 'brown');
insert into acnl_furniture values(51, 0, 'Ball Return', 'normal', 'Timmy&Tommy''s', 'colorful', 'white');
insert into acnl_furniture values(52, 0, 'Balloon Bed', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_furniture values(53, 0, 'Balloon Chair', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_furniture values(54, 0, 'Balloon Clock', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_furniture values(55, 0, 'Balloon Closet', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_furniture values(56, 0, 'Balloon Dresser', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_furniture values(57, 0, 'Balloon Lamp', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_furniture values(58, 0, 'Balloon Sofa', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_furniture values(59, 0, 'Balloon Table', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_furniture values(60, 0, 'Balloon TV', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_furniture values(61, 0, 'Balloon Vanity', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_furniture values(62, 0, 'Balloon-Dog Lamp', 'unorderable', 'Balloon', 'red', 'red');
insert into acnl_furniture values(63, 0, 'Bamboo Grass', 'unorderable', 'Starcrossed Day (JP)', 'green', 'colorful');
insert into acnl_furniture values(64, 0, 'Barbecue', 'normal', 'Timmy&Tommy''s', 'red', 'red');
insert into acnl_furniture values(65, 0, 'Barber''s Pole', 'normal', 'Timmy&Tommy''s', 'colorful', 'colorful');
insert into acnl_furniture values(66, 0, 'Barrel', 'unorderable', 'Pascal', 'brown', 'brown');
insert into acnl_furniture values(67, 0, 'Basketball Hoop', 'normal', 'Timmy&Tommy''s', 'gray', 'white');
insert into acnl_furniture values(68, 0, 'Bass', 'normal', 'Timmy&Tommy''s', 'brown', 'brown');
insert into acnl_furniture values(69, 0, 'Bath Mat', 'normal', 'Timmy&Tommy''s', 'green', 'green');
insert into acnl_furniture values(70, 0, 'Bathroom Sink', 'normal', 'Timmy&Tommy''s', 'white', 'white');
