insert into acnl_hat values(1, 0, '1-Up Cap', 'normal', 'Accessory Corner', 'black', 'black');
insert into acnl_hat values(2, 0, 'Afro Cap', 'normal', 'Accessory Corner', 'brown', 'white');
insert into acnl_hat values(3, 0, 'Afro Wig', 'normal', 'Accessory Corner', 'brown', 'brown');
insert into acnl_hat values(4, 0, 'Alpinist Hat', 'normal', 'Accessory Corner', 'green', 'green');
insert into acnl_hat values(5, 0, 'Baby''s Hat', 'normal', 'Accessory Corner', 'white', 'white');
insert into acnl_hat values(6, 0, 'Badge Hat', 'normal', 'Accessory Corner', 'colorful', 'white');
insert into acnl_hat values(7, 0, 'Balloon Hat', 'unorderable', 'Balloon', 'colorful', 'colorful');
insert into acnl_hat values(8, 0, 'Banana-Split Hat', 'unorderable', 'GracieGrace (Autumn)', 'yellow', 'white');
insert into acnl_hat values(9, 0, 'Bandana', 'normal', 'Accessory Corner', 'red', 'red');
insert into acnl_hat values(10, 0, 'Batter''s Helmet', 'normal', 'Accessory Corner', 'black', 'black');
insert into acnl_hat values(11, 0, 'Bear Cap', 'normal', 'Accessory Corner', 'brown', 'brown');
insert into acnl_hat values(12, 0, 'Beret', 'normal', 'Accessory Corner', 'brown', 'brown');
insert into acnl_hat values(13, 0, 'Bicycle Helmet', 'normal', 'Accessory Corner', 'red', 'red');
insert into acnl_hat values(14, 0, 'Big Bro''s Hat', 'normal', 'Accessory Corner', 'red', 'red');
insert into acnl_hat values(15, 0, 'Birthday Hat', 'unorderable', 'Birthday', 'colorful', 'white');
insert into acnl_hat values(16, 0, 'Birthday Shades', 'unorderable', 'Birthday', 'pink', 'pink');
insert into acnl_hat values(17, 0, 'Black Veil', 'unorderable', 'GracieGrace (Winter)', 'black', 'black');
insert into acnl_hat values(18, 0, 'Blue Cap', 'normal', 'Accessory Corner', 'blue', 'blue');
insert into acnl_hat values(19, 0, 'Blue Headgear', 'normal', 'Accessory Corner', 'blue', 'blue');
insert into acnl_hat values(20, 0, 'Blue New Year''s Hat', 'unorderable', 'Countdown', 'blue', 'blue');
insert into acnl_hat values(21, 0, 'Blue Nightcap', 'normal', 'Accessory Corner', 'aqua', 'white');
insert into acnl_hat values(22, 0, 'Blue Ogre Mask', 'unorderable', 'Bean Day (JP)', 'blue', 'blue');
insert into acnl_hat values(23, 0, 'Blue Pikmin', 'unorderable', 'Fortune Cookie', 'blue', 'white');
insert into acnl_hat values(24, 0, 'Blue Plaid Fedora', 'normal', 'Accessory Corner', 'blue', 'blue');
insert into acnl_hat values(25, 0, 'Blue Pom-Pom Hat', 'normal', 'Accessory Corner', 'blue', 'blue');
insert into acnl_hat values(26, 0, 'Blue Ribbon', 'normal', 'Accessory Corner', 'blue', 'blue');
insert into acnl_hat values(27, 0, 'Blue-Zap Helmet', 'normal', 'Accessory Corner', 'blue', 'white');
insert into acnl_hat values(28, 0, 'Braided Wig', 'normal', 'Accessory Corner', 'brown', 'brown');
insert into acnl_hat values(29, 0, 'Bridal Veil', 'unorderable', 'GracieGrace (Spring)', 'white', 'white');
insert into acnl_hat values(30, 0, 'Bug Mask', 'normal', 'Limited (October 1 to 31)', 'black', 'black');
insert into acnl_hat values(31, 0, 'Bulb Bopper', 'unorderable', 'Fireworks', 'green', 'green');
insert into acnl_hat values(32, 0, 'Bun Wig', 'normal', 'Accessory Corner', 'white', 'black');
insert into acnl_hat values(33, 0, 'Bunny Hood', 'normal', 'Accessory Corner', 'white', 'white');
insert into acnl_hat values(34, 0, 'Captain''s Hat', 'unorderable', 'Island', 'white', 'white');
insert into acnl_hat values(35, 0, 'Cat Cap', 'normal', 'Accessory Corner', 'blue', 'blue');
insert into acnl_hat values(36, 0, 'Catcher''s Mask', 'normal', 'Accessory Corner', 'black', 'black');
insert into acnl_hat values(37, 0, 'Cavalier Hat', 'normal', 'Accessory Corner', 'black', 'black');
insert into acnl_hat values(38, 0, 'Celebration Hat', 'normal', 'Katrina', 'red', 'red');
insert into acnl_hat values(39, 0, 'Chef''s Hat', 'normal', 'Accessory Corner', 'white', 'white');
insert into acnl_hat values(40, 0, 'Cloche Hat', 'unorderable', 'GracieGrace (Winter)', 'red', 'purple');
insert into acnl_hat values(41, 0, 'Coin Headpiece', 'unorderable', 'GracieGrace (Winter)', 'yellow', 'red');
insert into acnl_hat values(42, 0, 'Combat Helmet', 'normal', 'Accessory Corner', 'green', 'colorful');
insert into acnl_hat values(43, 0, 'Conical Straw Hat', 'normal', 'Gulliver', 'brown', 'brown');
insert into acnl_hat values(44, 0, 'Cow Bone', 'normal', 'Accessory Corner', 'white', 'white');
insert into acnl_hat values(45, 0, 'Crown', 'normal', 'Accessory Corner', 'yellow', 'yellow');
insert into acnl_hat values(46, 0, 'Dandy Hat', 'normal', 'Accessory Corner', 'aqua', 'white');
insert into acnl_hat values(47, 0, 'Detective Hat', 'normal', 'Accessory Corner', 'beige', 'brown');
insert into acnl_hat values(48, 0, 'Diver''s Hood', 'normal', 'Accessory Corner', 'black', 'black');
insert into acnl_hat values(49, 0, 'Diving Mask', 'normal', 'Accessory Corner', 'yellow', 'yellow');
insert into acnl_hat values(50, 0, 'DJ Cap', 'normal', 'Accessory Corner', 'black', 'black');
insert into acnl_hat values(51, 0, 'Do-Rag', 'normal', 'Accessory Corner', 'yellow', 'orange');
insert into acnl_hat values(52, 0, 'Elegant Hat', 'unorderable', 'GracieGrace (Winter)', 'white', 'white');
insert into acnl_hat values(53, 0, 'Emperor''s Cap', 'normal', 'Limited (March 1 to 3) (JP)', 'black', 'black');
insert into acnl_hat values(54, 0, 'Explorer''s Hat', 'normal', 'Accessory Corner', 'gray', 'gray');
insert into acnl_hat values(55, 0, 'Fencing Mask', 'normal', 'Accessory Corner', 'black', 'black');
insert into acnl_hat values(56, 0, 'Festivale Accessory', 'normal', 'Limited (week before Festivale)', 'pink', 'colorful');
insert into acnl_hat values(57, 0, 'Fi Mask', 'unorderable', 'Fortune Cookie', 'aqua', 'aqua');
insert into acnl_hat values(58, 0, 'Fireman''s Hat', 'normal', 'Accessory Corner', 'black', 'black');
insert into acnl_hat values(59, 0, 'Flashy Hairpin', 'unorderable', 'GracieGrace (Summer)', 'pink', 'pink');
insert into acnl_hat values(60, 0, 'Floppy Hat', 'unorderable', 'GracieGrace (Summer)', 'black', 'black');
insert into acnl_hat values(61, 0, 'Flower Bopper', 'unorderable', 'Fireworks', 'aqua', 'aqua');
insert into acnl_hat values(62, 0, 'Football Helmet', 'normal', 'Accessory Corner', 'yellow', 'yellow');
insert into acnl_hat values(63, 0, 'Frog Cap', 'normal', 'Accessory Corner', 'green', 'green');
insert into acnl_hat values(64, 0, 'Funky Wig', 'unorderable', 'GracieGrace (Autumn)', 'brown', 'brown');
insert into acnl_hat values(65, 0, 'Geisha Wig', 'normal', 'Accessory Corner', 'brown', 'brown');
insert into acnl_hat values(66, 0, 'Ghost Mask', 'normal', 'Limited (October 1 to 31)', 'white', 'white');
insert into acnl_hat values(67, 0, 'Girl''s Day Updo', 'normal', 'Limited (March 1 to 3) (JP)', 'yellow', 'brown');
insert into acnl_hat values(68, 0, 'Gracie Hat', 'unorderable', 'GracieGrace (Summer)', 'blue', 'colorful');
insert into acnl_hat values(69, 0, 'Grandpa Hat', 'normal', 'Accessory Corner', 'gray', 'gray');
insert into acnl_hat values(70, 0, 'Grape Hat', 'normal', 'Accessory Corner', 'green', 'purple');
insert into acnl_hat values(71, 0, 'Green Cap', 'normal', 'Accessory Corner', 'green', 'green');
insert into acnl_hat values(72, 0, 'Green Headgear', 'normal', 'Accessory Corner', 'green', 'green');
insert into acnl_hat values(73, 0, 'Green Knit Hat', 'normal', 'Accessory Corner', 'green', 'green');
insert into acnl_hat values(74, 0, 'Green New Year''s Hat', 'unorderable', 'Countdown', 'green', 'green');
insert into acnl_hat values(75, 0, 'Green-Pumpkin Head', 'unorderable', 'Halloween', 'green', 'green');
insert into acnl_hat values(76, 0, 'Green-Zap Helmet', 'normal', 'Accessory Corner', 'green', 'white');
insert into acnl_hat values(77, 0, 'Hair-Bow Wig', 'unorderable', 'GracieGrace (Spring)', 'brown', 'brown');
insert into acnl_hat values(78, 0, 'Halo', 'normal', 'Accessory Corner', 'yellow', 'yellow');
insert into acnl_hat values(79, 0, 'Headband', 'unorderable', 'GracieGrace (Spring)', 'white', 'white');
insert into acnl_hat values(80, 0, 'Headkerchief', 'normal', 'Accessory Corner', 'green', 'green');
insert into acnl_hat values(81, 0, 'Heart Bopper', 'unorderable', 'Fireworks', 'pink', 'pink');
insert into acnl_hat values(82, 0, 'Heart Hairpin', 'normal', 'Accessory Corner', 'pink', 'pink');
insert into acnl_hat values(83, 0, 'Hero''s Cap', 'unorderable', 'Fortune Cookie', 'green', 'green');
insert into acnl_hat values(84, 0, 'Hibiscus Hairpin', 'unorderable', 'Club Tortimer', 'red', 'red');
insert into acnl_hat values(85, 0, 'Hot-Dog Hat', 'unorderable', 'GracieGrace (Autumn)', 'red', 'brown');
insert into acnl_hat values(86, 0, 'Hunter''s Cap', 'normal', 'Accessory Corner', 'red', 'white');
insert into acnl_hat values(87, 0, 'Jester''s Cap', 'normal', 'Accessory Corner', 'yellow', 'purple');
insert into acnl_hat values(88, 0, 'Jockey''s Helmet', 'normal', 'Accessory Corner', 'red', 'black');
insert into acnl_hat values(89, 0, 'Kaffiyeh', 'normal', 'Accessory Corner', 'white', 'white');
insert into acnl_hat values(90, 0, 'Kappa Cap', 'unorderable', 'Island', 'green', 'green');
insert into acnl_hat values(91, 0, 'King Tut Mask', 'normal', 'Accessory Corner', 'yellow', 'blue');
insert into acnl_hat values(92, 0, 'Kintaro Wig', 'normal', 'Accessory Corner', 'brown', 'brown');
insert into acnl_hat values(93, 0, 'Kiwi Hat', 'normal', 'Accessory Corner', 'brown', 'brown');
insert into acnl_hat values(94, 0, 'Knight''s Helmet', 'normal', 'Accessory Corner', 'gray', 'gray');
insert into acnl_hat values(95, 0, 'Light-Blue Cap', 'normal', 'Accessory Corner', 'aqua', 'aqua');
insert into acnl_hat values(96, 0, 'Li''l Bro''s Hat', 'normal', 'Accessory Corner', 'green', 'green');
insert into acnl_hat values(97, 0, 'Lion-Dance Mask', 'normal', 'Accessory Corner', 'red', 'white');
insert into acnl_hat values(98, 0, 'Mailman''s Hat', 'unorderable', 'Savings', 'green', 'orange');
insert into acnl_hat values(99, 0, 'Majora''s Mask', 'unorderable', 'Fortune Cookie', 'colorful', 'colorful');
