insert into acnl_stationery values(1, 0, 'Academy Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(2, 0, 'Airmail Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(3, 0, 'Bathtub Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(4, 0, 'Bejeweled Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(5, 0, 'Birthday Card', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(6, 0, 'Bubble Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(7, 0, 'Buttercup Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(8, 0, 'Butterfly Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(9, 0, 'Camouflage Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(10, 0, 'Card Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(11, 0, 'Chic Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(12, 0, 'Cloudy Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(13, 0, 'Composer Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(14, 0, 'Cool Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(15, 0, 'Cow Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(16, 0, 'Crater Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(17, 0, 'Elegant Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(18, 0, 'Fireworks Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(19, 0, 'Floral Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(20, 0, 'Flowery Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(21, 0, 'Forest Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(22, 0, 'Formal Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(23, 0, 'Four-Leaf Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(24, 0, 'Gallery Paper', 'unorderable', 'villagers');
insert into acnl_stationery values(25, 0, 'Geometric Paper', 'normal', 'Timmy&Tommy''s');
insert into acnl_stationery values(26, 0, 'Goldfish Paper', 'normal', 'Timmy&Tommy''s');
