insert into acww_shirt values(1, 0, 'Work Uniform', 'unorderable', 'Tom Nook', 'All', '0', 'Refined');
insert into acww_shirt values(2, 0, 'One-Ball Shirt', 'normal', 'Grp C', 'All', '340', 'Funky');
insert into acww_shirt values(3, 0, 'Two-Ball Shirt', 'normal', 'Grp A', 'All', '340', 'Funky');
insert into acww_shirt values(4, 0, 'Three-Ball Shirt', 'normal', 'Grp B', 'All', '340', 'Funky');
insert into acww_shirt values(5, 0, 'Four-Ball Shirt', 'normal', 'Grp C', 'All', '340', 'Funky');
insert into acww_shirt values(6, 0, 'Five-Ball Shirt', 'normal', 'Grp A', 'All', '340', 'Funky');
insert into acww_shirt values(7, 0, 'Six-Ball Shirt', 'normal', 'Grp B', 'All', '340', 'Funky');
insert into acww_shirt values(8, 0, 'Seven-Ball Shirt', 'normal', 'Grp C', 'All', '340', 'Funky');
insert into acww_shirt values(9, 0, 'Eight-Ball Shirt', 'normal', 'Grp A', 'All', '340', 'Funky');
insert into acww_shirt values(10, 0, 'Nine-Ball Shirt', 'normal', 'Grp B', 'All', '340', 'Funky');
insert into acww_shirt values(11, 0, 'Paw Shirt', 'normal', 'Grp C', 'All', '360', 'Funky');
insert into acww_shirt values(12, 0, 'Daisy Shirt', 'normal', 'Grp C', 'Spring', '380', 'Cute');
insert into acww_shirt values(13, 0, 'Tulip Shirt', 'normal', 'Grp C', 'Spring', '280', 'Cute');
insert into acww_shirt values(14, 0, 'Cherry Shirt', 'normal', 'Grp B', 'Fall', '360', 'Cute');
insert into acww_shirt values(15, 0, 'Skull Shirt', 'normal', 'Grp C', 'All', '320', 'Cool');
insert into acww_shirt values(16, 0, 'U R Here Shirt', 'normal', 'Grp C', 'All', '350', 'Cool');
insert into acww_shirt values(17, 0, 'Lightning Shirt', 'normal', 'Grp C', 'Summer', '380', 'Striking');
insert into acww_shirt values(18, 0, 'MVP Shirt', 'normal', 'Grp B', 'All', '370', 'Cool');
insert into acww_shirt values(19, 0, 'BB Shirt', 'normal', 'Grp A', 'All', '350', 'Cool');
insert into acww_shirt values(20, 0, 'Frog Shirt', 'normal', 'Grp B', 'Summer', '340', 'Cute');
insert into acww_shirt values(21, 0, 'Bear Shirt', 'normal', 'Grp A', 'All', '390', 'Cute');
insert into acww_shirt values(22, 0, 'Bunny Shirt', 'normal', 'Grp C', 'All', '360', 'Cute');
insert into acww_shirt values(23, 0, 'Elephant Shirt', 'normal', 'Grp A', 'All', '260', 'Cute');
insert into acww_shirt values(24, 0, 'Spade Shirt', 'normal', 'Grp C', 'All', '340', 'Fresh');
insert into acww_shirt values(25, 0, 'Diamond Shirt', 'normal', 'Grp A', 'All', '380', 'Cool');
insert into acww_shirt values(26, 0, 'Club Shirt', 'normal', 'Grp C', 'All', '360', 'Subtle');
insert into acww_shirt values(27, 0, 'Heart Shirt', 'normal', 'Grp A', 'All', '360', 'Cute');
insert into acww_shirt values(28, 0, 'Big Star Shirt', 'normal', 'Grp B', 'All', '400', 'Funky');
insert into acww_shirt values(29, 0, 'Bright Shirt', 'normal', 'Grp B', 'Spring', '320', 'Gaudy');
insert into acww_shirt values(30, 0, 'A Shirt', 'normal', 'Grp A', 'All', '370', 'Funky');
insert into acww_shirt values(31, 0, 'No. 1 Shirt', 'normal', 'Grp C', 'All', '250', 'Cool');
insert into acww_shirt values(32, 0, 'No. 2 Shirt', 'normal', 'Grp A', 'All', '250', 'Funky');
insert into acww_shirt values(33, 0, 'No. 3 Shirt', 'normal', 'Grp B', 'All', '250', 'Funky');
insert into acww_shirt values(34, 0, 'No. 4 Shirt', 'normal', 'Grp C', 'All', '250', 'Cute');
insert into acww_shirt values(35, 0, 'No. 5 Shirt', 'normal', 'Grp A', 'All', '250', 'Funky');
insert into acww_shirt values(36, 0, 'No. 23 Shirt', 'normal', 'Grp B', 'All', '250', 'Funky');
insert into acww_shirt values(37, 0, 'No. 67 Shirt', 'normal', 'Grp C', 'All', '250', 'Funky');
insert into acww_shirt values(38, 0, 'Big Bro''s Shirt', 'normal', 'Grp B', 'Fall', '320', 'Funky');
insert into acww_shirt values(39, 0, 'Li''l Bro''s Shirt', 'normal', 'Grp A', 'Summer', '320', 'Refined');
insert into acww_shirt values(40, 0, 'Cloudy Shirt', 'normal', 'Grp A', 'Spring', '320', 'Fresh');
insert into acww_shirt values(41, 0, 'Fresh Shirt', 'normal', 'Grp A', 'All', '380', 'Fresh');
insert into acww_shirt values(42, 0, 'Dawn Shirt', 'normal', 'Grp A', 'Summer', '380', 'Subtle');
insert into acww_shirt values(43, 0, 'Misty Shirt', 'normal', 'Grp B', 'All', '380', 'Refined');
insert into acww_shirt values(44, 0, 'Sunset Top', 'normal', 'Grp B', 'All', '290', 'Fresh');
insert into acww_shirt values(45, 0, 'Deep Blue Tee', 'normal', 'Grp B', 'All', '380', 'Fresh');
insert into acww_shirt values(46, 0, 'Peachy Shirt', 'normal', 'Grp B', 'Spring', '390', 'Fresh');
insert into acww_shirt values(47, 0, 'Rainbow Shirt', 'normal', 'Grp A', 'Summer', '777', 'Gaudy');
